ObjectID,State,County/Parish,Year,Overall_SPB_PerDay,Overall_Clerids_PerDay,x,y
1022,Mississippi,Chickasaw,2020,4.4,1.7,-89.12249,33.29048
1023,Mississippi,Scott,2020,0,0,-89.62082,32.48419
1024,Mississippi,Smith,2020,0.8,8.3,-89.61037,32.20593
1025,Mississippi,Jasper,2020,3,8.2,-89.26535,32.20402
1026,Georgia,Walker,2020,0.5,1.6,-85.0703,34.6376
1027,Georgia,Chattooga,2020,0,2.8,-85.1783,34.488
1028,Georgia,Chattooga,2020,0,0.9,-85.158,34.5763
1029,South Carolina,Union,2020,0,2.7,-81.5288,34.5033
1030,South Carolina,Union,2020,0,1.1,-81.5351,34.5505
1031,Georgia,Jasper,2020,0.5,5.2,-83.7427,33.2753
1032,Georgia,Putnam,2020,0.3,7.4,-83.3972,33.4088
1033,Georgia,Greene,2020,0.4,3.9,-83.2825,33.7525
1034,North Carolina,Graham,2020,0.3,15.4,-83.6486,35.3502
1035,North Carolina,Graham,2020,0.2,10.1,-83.6973,35.429
1036,North Carolina,Graham,2020,0.5,16.6,-83.7495,35.4353
1037,North Carolina,Cherokee,2020,0.1,9.9,-84.0897,35.0674
1038,North Carolina,Cherokee,2020,0,4.6,-84.1183,35.0716
1039,North Carolina,Cherokee,2020,0,2.8,-84.1351,35.0922
1040,South Carolina,Oconee,2020,0.9,7.8,-83.1109,34.9148
1041,South Carolina,Oconee,2020,0.1,6.7,-83.148,34.7588
1042,South Carolina,Oconee,2020,0,1.4,-83.225,34.7235
1043,Georgia,Liberty,2020,0,0.7,-81.5569,31.9206
1044,Georgia,Bryan,2020,0,1.1,-81.3802,31.9775
1045,Georgia,Bryan,2020,0,0.5,-81.6449,32.0584
1046,Virginia,Craig,2020,0,0.2,-80.0736,37.4898
1047,Virginia,Alleghany,2020,0,0.3,-80.0523,37.6754
1048,Virginia,Craig,2020,0,0.7,-80.0306,37.5924
1049,Mississippi,Jones,2020,0,18.5,-88.98309,31.57688
1050,Mississippi,Wayne,2020,0.1,4.9,-88.7427,31.46818
1051,Mississippi,Greene,2020,0,20.5,-88.6577,31.42732
1052,Mississippi,Forrest,2020,0,0.3,-89.17719,31.03679
1053,Mississippi,Perry,2020,0,0.6,-89.08483,30.99648
1054,Mississippi,Perry,2020,0,1,-89.0441,30.91837
1055,Louisiana,Grant,2020,0,2.3,-92.34688,31.50552
1056,Louisiana,Grant,2020,0,2.2,-92.48523,31.56003
1057,Louisiana,Grant,2020,0,1.5,-92.60679,31.65904
1058,Alabama,Cleburne,2020,44.4,11.1,-85.54963,33.88872
1059,Alabama,Cleburne,2020,33.4,23.9,-85.57769,33.78874
1060,Alabama,Cleburne,2020,22.9,13.5,-85.59931,33.73117
1061,Louisiana,Sabine,2020,0,1.7,-93.779718,31.495187
1062,Louisiana,Natchitoches,2020,0,1.4,-93.05311,31.41966
1063,Louisiana,Natchitoches,2020,0,7,-93.10684,31.39516
1064,Alabama,Randolph,2020,54,3.6,-85.6272,33.391883
1065,Alabama,Clay,2020,4.5,3.3,-86.10575,33.27485
1066,Alabama,Clay,2020,101.7,28,-86.112183,33.160567
1067,Louisiana,Rapides,2020,0,0.7,-92.613332,31.24465
1068,Louisiana,Rapides,2020,0,2.1,-92.6237727,31.2138065
1069,Louisiana,Rapides,2020,0,2.3,-92.598607,31.129113
1070,Oklahoma,LeFlore,2020,0,2.9,-94.830983,34.627233
1071,Oklahoma,LeFlore,2020,0,0.9,-94.773967,34.706117
1072,Oklahoma,LeFlore,2020,0,0.6,-94.622933,34.676683
1073,Arkansas,Polk,2020,0,0,-94.2115,34.662333
1074,Arkansas,Polk,2020,0,0.1,-94.252717,34.485555
1075,Arkansas,Polk,2020,0,0,-94.29385,34.495117
1076,North Carolina,Gaston,2020,0,0.1,-80.997508,35.330334
1077,North Carolina,Gaston,2020,0,0.4,-80.9932,35.380513
1078,North Carolina,Lincoln,2020,0,0.5,-80.960456,35.411679
1079,Alabama,Bibb,2020,29.4,52.9,-87.32241,32.966588
1080,Alabama,Hale,2020,23.6,38.7,-87.42169,32.963408
1081,Alabama,Bibb,2020,15.9,24.1,-87.3868,32.996
1082,Alabama,Bibb,2020,8.1,11,-87.046948,32.897207
1083,Alabama,Perry,2020,11.7,21.6,-87.037025,32.780912
